page,section,page_purpose
1,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 1 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
2,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 2 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
3,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 3 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
4,"Front matter: title, roadmap, prerequisites, and diagnostic","Page 4 of 4: Front matter: title, roadmap, prerequisites, and diagnostic"
5,Chapter 1: How Programs Think,opening objectives and diagnostic
6,Chapter 1: How Programs Think,core intuition
7,Chapter 1: How Programs Think,formal explanation
8,Chapter 1: How Programs Think,worked example
9,Chapter 1: How Programs Think,implementation or derivation
10,Chapter 1: How Programs Think,common mistakes and debugging
11,Chapter 1: How Programs Think,independent exercises
12,Chapter 1: How Programs Think,retrieval review
13,Chapter 2: Variables Types and Expressions,opening objectives and diagnostic
14,Chapter 2: Variables Types and Expressions,core intuition
15,Chapter 2: Variables Types and Expressions,formal explanation
16,Chapter 2: Variables Types and Expressions,worked example
17,Chapter 2: Variables Types and Expressions,implementation or derivation
18,Chapter 2: Variables Types and Expressions,common mistakes and debugging
19,Chapter 2: Variables Types and Expressions,independent exercises
20,Chapter 2: Variables Types and Expressions,retrieval review
21,Chapter 3: Control Flow,opening objectives and diagnostic
22,Chapter 3: Control Flow,core intuition
23,Chapter 3: Control Flow,formal explanation
24,Chapter 3: Control Flow,worked example
25,Chapter 3: Control Flow,guided practice
26,Chapter 3: Control Flow,implementation or derivation
27,Chapter 3: Control Flow,common mistakes and debugging
28,Chapter 3: Control Flow,independent exercises
29,Chapter 3: Control Flow,retrieval review
30,Chapter 4: Functions and Decomposition,opening objectives and diagnostic
31,Chapter 4: Functions and Decomposition,core intuition
32,Chapter 4: Functions and Decomposition,formal explanation
33,Chapter 4: Functions and Decomposition,worked example
34,Chapter 4: Functions and Decomposition,guided practice
35,Chapter 4: Functions and Decomposition,implementation or derivation
36,Chapter 4: Functions and Decomposition,common mistakes and debugging
37,Chapter 4: Functions and Decomposition,independent exercises
38,Chapter 4: Functions and Decomposition,retrieval review
39,Chapter 5: Collections and Data Modeling,opening objectives and diagnostic
40,Chapter 5: Collections and Data Modeling,core intuition
41,Chapter 5: Collections and Data Modeling,formal explanation
42,Chapter 5: Collections and Data Modeling,worked example
43,Chapter 5: Collections and Data Modeling,guided practice
44,Chapter 5: Collections and Data Modeling,implementation or derivation
45,Chapter 5: Collections and Data Modeling,common mistakes and debugging
46,Chapter 5: Collections and Data Modeling,independent exercises
